Nama_Rumah_Sakit,Long,Lat,Total_Kamar,Sisa_Kamar,Total_Dokter,Dokter_Siaga
Budi Kemuliaan ,106.8223,-6.1818,104,32,173,160
Sahid Sahirman,106.84513,-6.21462,35,23,37,11
PGI Cikini,106.8223,-6.1818,289,86,178,88
Menteng Mitra Afia,106.78778,-6.16639,46,19,26,26
Abdi Waluyo,106.8223,-6.1818,46,21,53,15
Bunda Jakarta,106.8223,-6.1818,53,25,84,65
YPK Mandiri,106.8223,-6.1818,43,38,53,2
Kramat 128,106.8418,-6.173,71,15,48,23
PK. St. Carolus ,106.8223,-6.1818,271,169,462,180
Moh. Husni Thamrin Salemba,106.8223,-6.1818,143,90,82,79
Islam Jakarta Cempaka Putih,106.87089312603943,-6.170453195328889,284,49,561,335
YARSI,106.8223,-6.1818,0,0,0,0
Evasari,106.8583515,-6.1936419,46,3,57,10
Hermina Kemayoran,106.84587002603948,-6.154420790554774,111,29,146,146
Mitra Kemayoran,106.8223,-6.1818,131,25,94,69
Husada ,106.8354567,-6.1464887,280,122,287,161
Prof  Nizar ,106.8223,-6.1818,9,5,14,14
Bina Estetika,106.8223,-6.1818,21,6,33,15
Jakarta Eye Center Menteng,106.8362254,-6.1870269,18,0,15,6
Proklamasi,106.8223,-6.1818,26,20,38,16
Tambak,106.8223,-6.1818,29,25,20,9
Bunda Jakarta,106.8223,-6.1818,40,16,31,29
FKG Universitas Indonesia,106.8223,-6.1818,0,0,0,0
Salemba Satu Medika,106.8223,-6.1818,22,18,18,15
Yarsi,106.84513,-6.21462,3,2,5,2
Islam Jakarta Sukapura,106.8823,-6.1339,137,96,75,30
Firdaus,106.93611,-6.09833,96,64,117,27
Mitra Keluarga Kelapa Gading,106.89732645487508,-6.151629454450531,119,64,197,195
Gading Pluit,106.84513,-6.21462,124,77,82,62
Mulyasari,106.91333,-6.115,84,25,86,68
Port Medical Center,106.8823,-6.1339,40,13,30,23
Sukmul Sisma Medika,106.89083,-6.11361,78,19,131,124
Puri Medika,106.89083,-6.11361,61,36,51,20
Hermina Podomoro,106.89083,-6.11361,54,30,46,44
Satya Negara,106.8615866915399,-6.138701019754759,79,23,119,66
Royal Progress,106.86549196836825,-6.139133882146656,142,34,73,13
Atma Jaya,106.8823,-6.1339,118,76,108,40
Pluit,106.8823,-6.1339,132,111,103,60
Duta Indah,106.7873425,-6.1376331,26,3,15,1
Pantai Indah Kapuk,106.7529499972036,-6.111566738452914,140,15,212,208
JEC Primasana,106.890068,-6.1152322,27,3,42,33
Santo Yusuf,106.8823,-6.1339,18,16,19,1
Family,106.79045841069706,-6.133494779780267,49,31,49,11
Grand Family,106.73911355302566,-6.122851469552312,51,28,57,31
Bhakti Mulia,106.80058039720409,-6.199398205842759,54,29,82,2
Sumber Waras ,106.7673,-6.1676,169,152,100,26
Ibnu Sina,106.7939,-6.1597,9,9,8,1
Royal Taruma,106.8065,-6.1969,146,106,185,138
Patria IKKT,106.79270265487531,-6.196842040346152,62,45,114,54
Bina Sehat Mandiri ,106.72639,-6.18333,23,21,44,19
Cendana / Puri Mandiri Kedoya (nama lama),106.72639,-6.18333,50,7,49,17
Grha Kedoya,106.7673,-6.1676,182,139,225,206
Siloam Kebon Jeruk,106.72639,-6.18333,148,33,108,1
Anggrek Mas,106.72639,-6.18333,26,15,38,25
Medika Permata Hijau,106.72639,-6.18333,67,0,68,51
Pondok Indah - Puri Indah,106.7466101,-6.1864941,104,7,128,96
Cinta Kasih Tzu Chi,106.72167,-6.14972,42,40,26,14
Ciputra Citra Garden City,-73.6343,40.72677,263,253,325,242
Hermina Daan Mogot,106.705,-6.16861,200,71,386,160
Mitra Keluarga Kalideres,106.705,-6.16861,76,76,51,51
Aries,106.80615698291852,-6.155769064369935,25,20,37,30
