Nama_Rumah_Sakit,Long,Lat,Total_Kamar,Sisa_Kamar,Total_Dokter,Dokter_Siaga
Budi Kemuliaan ,106.8223,-6.1818,104,77,173,160
Sahid Sahirman,106.84513,-6.21462,35,23,37,11
PGI Cikini,106.8223,-6.1818,289,268,178,88
Menteng Mitra Afia,106.78778,-6.16639,46,10,26,26
Abdi Waluyo,106.8223,-6.1818,46,15,53,15
Bunda Jakarta,106.8223,-6.1818,53,30,84,65
YPK Mandiri,106.8223,-6.1818,43,36,53,2
Kramat 128,106.8418,-6.173,71,66,48,23
PK. St. Carolus ,106.8223,-6.1818,271,239,462,180
Moh. Husni Thamrin Salemba,106.8223,-6.1818,143,75,82,79
Islam Jakarta Cempaka Putih,106.87089312603943,-6.170453195328889,284,64,561,335
YARSI,106.8223,-6.1818,0,0,0,0
Evasari,106.8583515,-6.1936419,46,14,57,10
Hermina Kemayoran,106.84587002603948,-6.154420790554774,111,106,146,146
Mitra Kemayoran,106.8223,-6.1818,131,86,94,69
Husada ,106.8354567,-6.1464887,280,256,287,161
Prof  Nizar ,106.8223,-6.1818,9,5,14,14
Bina Estetika,106.8223,-6.1818,21,6,33,15
Jakarta Eye Center Menteng,106.8362254,-6.1870269,18,6,15,6
Proklamasi,106.8223,-6.1818,26,26,38,16
Tambak,106.8223,-6.1818,29,19,20,9
Bunda Jakarta,106.8223,-6.1818,40,33,31,29
FKG Universitas Indonesia,106.8223,-6.1818,0,0,0,0
Salemba Satu Medika,106.8223,-6.1818,22,2,18,15
Yarsi,106.84513,-6.21462,3,0,5,2
Islam Jakarta Sukapura,106.8823,-6.1339,137,17,75,30
Firdaus,106.93611,-6.09833,96,31,117,27
Mitra Keluarga Kelapa Gading,106.89732645487508,-6.151629454450531,119,35,197,195
Gading Pluit,106.84513,-6.21462,124,96,82,62
Mulyasari,106.91333,-6.115,84,81,86,68
Port Medical Center,106.8823,-6.1339,40,33,30,23
Sukmul Sisma Medika,106.89083,-6.11361,78,64,131,124
Puri Medika,106.89083,-6.11361,61,7,51,20
Hermina Podomoro,106.89083,-6.11361,54,48,46,44
Satya Negara,106.8615866915399,-6.138701019754759,79,20,119,66
Royal Progress,106.86549196836825,-6.139133882146656,142,85,73,13
Atma Jaya,106.8823,-6.1339,118,29,108,40
Pluit,106.8823,-6.1339,132,53,103,60
Duta Indah,106.7873425,-6.1376331,26,0,15,1
Pantai Indah Kapuk,106.7529499972036,-6.111566738452914,140,0,212,208
JEC Primasana,106.890068,-6.1152322,27,16,42,33
Santo Yusuf,106.8823,-6.1339,18,15,19,1
Family,106.79045841069706,-6.133494779780267,49,27,49,11
Grand Family,106.73911355302566,-6.122851469552312,51,1,57,31
Bhakti Mulia,106.80058039720409,-6.199398205842759,54,29,82,2
Sumber Waras ,106.7673,-6.1676,169,11,100,26
Ibnu Sina,106.7939,-6.1597,9,2,8,1
Royal Taruma,106.8065,-6.1969,146,140,185,138
Patria IKKT,106.79270265487531,-6.196842040346152,62,30,114,54
Bina Sehat Mandiri ,106.72639,-6.18333,23,18,44,19
Cendana / Puri Mandiri Kedoya (nama lama),106.72639,-6.18333,50,25,49,17
Grha Kedoya,106.7673,-6.1676,182,34,225,206
Siloam Kebon Jeruk,106.72639,-6.18333,148,80,108,1
Anggrek Mas,106.72639,-6.18333,26,6,38,25
Medika Permata Hijau,106.72639,-6.18333,67,55,68,51
Pondok Indah - Puri Indah,106.7466101,-6.1864941,104,97,128,96
Cinta Kasih Tzu Chi,106.72167,-6.14972,42,15,26,14
Ciputra Citra Garden City,-73.6343,40.72677,263,154,325,242
Hermina Daan Mogot,106.705,-6.16861,200,114,386,160
Mitra Keluarga Kalideres,106.705,-6.16861,76,22,51,51
Aries,106.80615698291852,-6.155769064369935,25,0,37,30
FKG Universitas Trisakti,106.7673,-6.1676,2,1,2,1
Jakarta Eye Center Kedoya,106.72639,-6.18333,17,12,31,14
Muhammadiyah Taman Puring,106.8135,-6.266,59,28,43,11
Gandaria,106.8046,-6.2428,40,34,69,3
Kartini,106.7868,-6.2487,41,32,68,28
Yadika Kebayoran Lama,106.7868,-6.2487,31,3,40,17
Petukangan,106.7469662,-6.2362981,22,18,14,12
Pondok Indah - Pondok Indah,106.78158186276217,-6.283373015759504,176,107,217,94
Setia Mitra,106.78393,-6.29755,42,36,82,57
Siloam TB Simatupang,106.8135,-6.266,92,87,82,44
Mayapada,106.78393,-6.29755,95,66,182,4
Prikasih,106.78393,-6.29755,115,115,106,12
Siaga Raya,106.8378,-6.2936,40,14,21,0
Aulia,106.8135,-6.266,55,47,94,91
Ali Sibroh Malisi,106.8214,-6.3341,55,34,61,2
Andhika,106.8214,-6.3341,72,0,41,33
Zahirah,106.8135,-6.266,109,75,186,156
Jakarta Medical Center,106.8135,-6.266,51,8,91,74
Siloam Asri,106.8422342,-6.2535358,47,16,80,9
Tria Dipa,106.8499,-6.2342,58,52,71,2
Tebet,106.8135,-6.266,62,0,71,3
Jakarta,106.8135,-6.266,118,75,172,97
Metropolitan Medical Center,108.48306,-6.97583,126,49,102,19
Medistra,106.8269,-6.2094,157,105,179,74
Agung,106.8135,-6.266,58,3,106,14
Brawijaya,106.8046,-6.2428,43,25,22,21
Asih,106.8046,-6.2428,23,15,30,3
Dharmawangsa ,106.8046,-6.2428,44,25,72,36
Ciranjang,106.8046,-6.2428,20,17,20,15
Panti Nugraha,106.8135,-6.266,63,13,66,66
Avisena,106.8135,-6.266,23,12,12,11
FKG Universitas Prof. DR. Moestopo (B),106.7665339,-6.2580552,3,3,2,1
Nusantara,106.78393,-6.29755,0,0,0,0
Kemang,106.8135,-6.266,42,23,34,9
Sofa Marwa  (Tidak Operasional),106.8214,-6.3341,24,15,27,3
Duren Tiga,106.8273466,-6.2542228,25,5,50,16
AINI Prof. DR. Isak Salim,106.8269,-6.2094,24,3,22,1
MRCCC Siloam Semanggi,106.8135,-6.266,156,27,302,106
Budhi Jaya,106.8135,-6.266,37,28,35,28
Halimun,106.8135,-6.266,13,7,7,0
Columbia Asia Pulomas,106.89109916836831,-6.182168933153823,98,35,158,140
Omni Pulomas,106.884,-6.2521,125,114,79,58
