Nama_Rumah_Sakit,Long,Lat,Total_Kamar,Sisa_Kamar,Total_Dokter,Dokter_Siaga
Budi Kemuliaan ,106.8223,-6.1818,104,32,173,160
Sahid Sahirman,106.84513,-6.21462,35,11,37,11
PGI Cikini,106.8223,-6.1818,289,282,178,88
Menteng Mitra Afia,106.78778,-6.16639,46,35,26,26
Abdi Waluyo,106.8223,-6.1818,46,5,53,15
Bunda Jakarta,106.8223,-6.1818,53,28,84,65
YPK Mandiri,106.8223,-6.1818,43,14,53,2
Kramat 128,106.8418,-6.173,71,61,48,23
PK. St. Carolus ,106.8223,-6.1818,271,115,462,180
Moh. Husni Thamrin Salemba,106.8223,-6.1818,143,43,82,79
Islam Jakarta Cempaka Putih,106.87089312603943,-6.170453195328889,284,154,561,335
YARSI,106.8223,-6.1818,0,0,0,0
Evasari,106.8583515,-6.1936419,46,22,57,10
Hermina Kemayoran,106.84587002603948,-6.154420790554774,111,77,146,146
Mitra Kemayoran,106.8223,-6.1818,131,30,94,69
Husada ,106.8354567,-6.1464887,280,195,287,161
Prof  Nizar ,106.8223,-6.1818,9,7,14,14
Bina Estetika,106.8223,-6.1818,21,20,33,15
Jakarta Eye Center Menteng,106.8362254,-6.1870269,18,10,15,6
Proklamasi,106.8223,-6.1818,26,8,38,16
Tambak,106.8223,-6.1818,29,4,20,9
Bunda Jakarta,106.8223,-6.1818,40,9,31,29
FKG Universitas Indonesia,106.8223,-6.1818,0,0,0,0
Salemba Satu Medika,106.8223,-6.1818,22,13,18,15
Yarsi,106.84513,-6.21462,3,0,5,2
Islam Jakarta Sukapura,106.8823,-6.1339,137,9,75,30
Firdaus,106.93611,-6.09833,96,85,117,27
Mitra Keluarga Kelapa Gading,106.89732645487508,-6.151629454450531,119,55,197,195
Gading Pluit,106.84513,-6.21462,124,59,82,62
Mulyasari,106.91333,-6.115,84,36,86,68
Port Medical Center,106.8823,-6.1339,40,8,30,23
Sukmul Sisma Medika,106.89083,-6.11361,78,54,131,124
Puri Medika,106.89083,-6.11361,61,36,51,20
Hermina Podomoro,106.89083,-6.11361,54,46,46,44
Satya Negara,106.8615866915399,-6.138701019754759,79,20,119,66
Royal Progress,106.86549196836825,-6.139133882146656,142,77,73,13
Atma Jaya,106.8823,-6.1339,118,81,108,40
Pluit,106.8823,-6.1339,132,33,103,60
Duta Indah,106.7873425,-6.1376331,26,3,15,1
Pantai Indah Kapuk,106.7529499972036,-6.111566738452914,140,98,212,208
JEC Primasana,106.890068,-6.1152322,27,22,42,33
Santo Yusuf,106.8823,-6.1339,18,10,19,1
Family,106.79045841069706,-6.133494779780267,49,15,49,11
Grand Family,106.73911355302566,-6.122851469552312,51,25,57,31
Bhakti Mulia,106.80058039720409,-6.199398205842759,54,6,82,2
Sumber Waras ,106.7673,-6.1676,169,163,100,26
Ibnu Sina,106.7939,-6.1597,9,5,8,1
Royal Taruma,106.8065,-6.1969,146,138,185,138
Patria IKKT,106.79270265487531,-6.196842040346152,62,9,114,54
Bina Sehat Mandiri ,106.72639,-6.18333,23,23,44,19
Cendana / Puri Mandiri Kedoya (nama lama),106.72639,-6.18333,50,1,49,17
Grha Kedoya,106.7673,-6.1676,182,63,225,206
Siloam Kebon Jeruk,106.72639,-6.18333,148,124,108,1
Anggrek Mas,106.72639,-6.18333,26,2,38,25
Medika Permata Hijau,106.72639,-6.18333,67,64,68,51
Pondok Indah - Puri Indah,106.7466101,-6.1864941,104,23,128,96
Cinta Kasih Tzu Chi,106.72167,-6.14972,42,29,26,14
Ciputra Citra Garden City,-73.6343,40.72677,263,37,325,242
Hermina Daan Mogot,106.705,-6.16861,200,127,386,160
Mitra Keluarga Kalideres,106.705,-6.16861,76,29,51,51
Aries,106.80615698291852,-6.155769064369935,25,22,37,30
FKG Universitas Trisakti,106.7673,-6.1676,2,0,2,1
Jakarta Eye Center Kedoya,106.72639,-6.18333,17,7,31,14
Muhammadiyah Taman Puring,106.8135,-6.266,59,24,43,11
Gandaria,106.8046,-6.2428,40,17,69,3
Kartini,106.7868,-6.2487,41,37,68,28
Yadika Kebayoran Lama,106.7868,-6.2487,31,22,40,17
Petukangan,106.7469662,-6.2362981,22,15,14,12
Pondok Indah - Pondok Indah,106.78158186276217,-6.283373015759504,176,62,217,94
Setia Mitra,106.78393,-6.29755,42,19,82,57
Siloam TB Simatupang,106.8135,-6.266,92,86,82,44
Mayapada,106.78393,-6.29755,95,22,182,4
Prikasih,106.78393,-6.29755,115,39,106,12
Siaga Raya,106.8378,-6.2936,40,24,21,0
Aulia,106.8135,-6.266,55,55,94,91
Ali Sibroh Malisi,106.8214,-6.3341,55,0,61,2
Andhika,106.8214,-6.3341,72,1,41,33
Zahirah,106.8135,-6.266,109,23,186,156
Jakarta Medical Center,106.8135,-6.266,51,10,91,74
Siloam Asri,106.8422342,-6.2535358,47,13,80,9
Tria Dipa,106.8499,-6.2342,58,16,71,2
Tebet,106.8135,-6.266,62,11,71,3
Jakarta,106.8135,-6.266,118,89,172,97
Metropolitan Medical Center,108.48306,-6.97583,126,53,102,19
Medistra,106.8269,-6.2094,157,139,179,74
Agung,106.8135,-6.266,58,5,106,14
Brawijaya,106.8046,-6.2428,43,31,22,21
Asih,106.8046,-6.2428,23,4,30,3
Dharmawangsa ,106.8046,-6.2428,44,39,72,36
Ciranjang,106.8046,-6.2428,20,12,20,15
Panti Nugraha,106.8135,-6.266,63,55,66,66
Avisena,106.8135,-6.266,23,21,12,11
FKG Universitas Prof. DR. Moestopo (B),106.7665339,-6.2580552,3,0,2,1
Nusantara,106.78393,-6.29755,0,0,0,0
Kemang,106.8135,-6.266,42,20,34,9
Sofa Marwa  (Tidak Operasional),106.8214,-6.3341,24,15,27,3
Duren Tiga,106.8273466,-6.2542228,25,13,50,16
AINI Prof. DR. Isak Salim,106.8269,-6.2094,24,4,22,1
MRCCC Siloam Semanggi,106.8135,-6.266,156,42,302,106
Budhi Jaya,106.8135,-6.266,37,36,35,28
Halimun,106.8135,-6.266,13,1,7,0
Columbia Asia Pulomas,106.89109916836831,-6.182168933153823,98,76,158,140
Omni Pulomas,106.884,-6.2521,125,50,79,58
Kartika Pulomas ,106.88028,-6.17972,64,23,69,66
Dharma Nugraha,106.884,-6.2521,84,30,89,20
Mediros,106.884,-6.2521,83,78,86,8
Premier Jatinegara,106.884,-6.2521,202,23,105,56
Hermina Jatinegara,106.884,-6.2521,135,91,117,33
Yadika Pondok Bambu,106.84513,-6.21462,65,62,82,14
dr. Euis,106.84513,-6.21462,41,30,40,37
Sayyidah,106.9249075,-6.2305012,19,3,9,2
Islam Jakarta Pondok Kopi,106.884,-6.2521,167,38,140,136
Restu Kasih,68.26706,24.3539,64,11,117,9
Al-Fauzan,68.26706,24.3539,15,14,15,3
Haji Jakarta,106.8787,-6.2803,99,36,187,51
Harum Sisma Medika,106.884,-6.2521,83,6,108,19
Universitas Kristen Indonesia,106.884,-6.2521,140,136,160,114
Harapan Bunda,106.8778,-6.3274,124,0,146,144
Harapan Jayakarta ,106.9391,-6.1819,59,37,46,1
Rawamangun,106.88028,-6.17972,33,17,44,20
Jantung Jakarta,106.884,-6.2521,45,3,60,57
SMEC,106.884,-6.2521,6,4,7,0
Alvernia Agusta,106.884,-6.2521,17,9,32,10
Bunda Aliyah,106.84513,-6.21462,65,14,128,95
SamMarie Basra,106.84513,-6.21462,15,9,12,3
Islam Klender Jakarta,106.9331011,-6.221381411273796,50,26,72,0
Asta Nugraha,106.91376119852924,-6.2221374605530295,6,1,11,0
El Shama  (Tidak Operasional),106.78667,-6.23444,27,23,35,17
Bina Waluya,106.884,-6.2521,24,5,39,28
Resti Mulya,106.884,-6.2521,27,23,43,2
Dr. Cipto Mangunkusumo,106.8223,-6.1818,772,585,606,234
