Long,Lat
106.8426175714259,-6.298848303794229
106.9357721014135,-6.358472721982449
106.66317861174646,-6.359592842009404
106.79285648307741,-6.354710209276128
106.968995192168,-6.038603965355486
107.00558468007591,-6.368103975599583
106.71723850211097,-6.249280360487815
107.00917773833146,-6.312590429906166
106.94408782365136,-6.020188987718578
106.86322645765986,-6.105373845567706
106.99048687548336,-6.391861437879911
106.89581676482436,-6.338820827669524
106.81653350631159,-6.231199031863322
106.6428079135815,-6.103254340378879
106.84077777167018,-6.277298234149095
106.7274803945341,-6.073340096592592
106.97442875906683,-6.058312672819848
106.8962502134324,-6.0453727945988724
106.73112407457391,-6.0414414655176385
106.62334742977644,-6.101116926232304
106.99072902863536,-6.20004147343825
106.68979940935041,-6.075849743438533
106.97927756626497,-6.097046517683369
106.81521351915578,-6.394502431900929
106.70535204379512,-6.109072140266061
106.90666597973015,-6.082113342354286
106.77095847947949,-6.245257182596665
106.98559044161891,-6.002274618640527
106.81943934809722,-6.284226836425094
106.9074813592535,-6.253873694481572
106.98619095360522,-6.284145880620762
107.00658758428192,-6.291593291425618
106.77285722361955,-6.152755410119044
106.72591979075911,-6.3814138578042305
106.82798077076879,-6.348791385874373
106.73386384212814,-6.255350523718947
106.85917776894752,-6.237113622765282
106.93334541517132,-6.268897933918347
106.76755094921859,-6.0152924152063765
106.9315172567324,-6.398442477417
106.78346146101941,-6.110887988774481
106.63459975722871,-6.0676913032827535
106.71524182261666,-6.257909773434433
106.68622294750048,-6.083508533201551
106.72549405103942,-6.3081932237890905
106.62091950651063,-6.340781123506552
106.71572424718352,-6.08502761111159
106.9807684578354,-6.090687947930709
106.83435542077022,-6.2647215251591595
106.62404894136155,-6.1312373648202065
106.96036101220847,-6.357578538320724
106.86163406079847,-6.129967309660751
106.86359978948121,-6.282178984691408
106.75153141830437,-6.297151462941663
106.9161474072284,-6.124374070842371
106.67427304741628,-6.144989329120396
106.70812109185921,-6.167671189676789
106.91439570689342,-6.1845579365163275
106.6660203476614,-6.081259276743904
106.97811968404294,-6.070731256907057
106.65488892248656,-6.163308733725641
106.87804760963016,-6.222183163301915
107.01536510169502,-6.049302883093245
106.63432455754011,-6.12193057947751
106.86532199633898,-6.214765899109563
106.80013761682534,-6.087763247909749
106.77674916490803,-6.277638173986784
106.9902283586342,-6.212404984682823
106.64390330551207,-6.063797053161556
106.80998771192118,-6.2361936241245255
106.96848845635014,-6.1238559361954525
106.78867753683123,-6.02626299817534
107.01106771477448,-6.107680803951579
106.75908103615669,-6.274211242001516
106.64789954047666,-6.074567606087126
106.97632465678073,-6.283990984024677
106.87898201035374,-6.179439630981526
106.94121688583449,-6.396774238599824
106.80457475243482,-6.3026606396207585
106.89532992625915,-6.255745367124465
106.93806078895659,-6.39527979729599
106.994473009598,-6.026185438826085
106.76740694462923,-6.036729255980041
106.62396115778785,-6.126809398976675
106.79226836349592,-6.142265625168094
106.67195193449409,-6.146605614909535
106.92506684651575,-6.236902145051372
106.64863245761424,-6.1891568128536445
106.99601640575432,-6.149226670326177
106.70029433463004,-6.008110218273646
106.96006027358753,-6.340967218896158
106.76522770042178,-6.38509233568867
106.69324952588214,-6.186133278465065
106.63788414327138,-6.189125371316231
106.94901077430151,-6.074739706920528
107.00770542956691,-6.179293368233402
106.76835489679479,-6.0928768774425235
106.65096982898925,-6.103737927392803
106.63912748530977,-6.2669171028615756
106.85467867511434,-6.079550319372196
106.71342083211374,-6.188652765574403
106.94726272764228,-6.3901914596582525
106.80305712090271,-6.1251321102584715
106.79692161013601,-6.075937741137914
106.63497582039129,-6.0136198907909515
106.68910352742903,-6.350575739097478
106.71196399165395,-6.076586802735184
106.8678881830504,-6.084430336878429
106.96094177115678,-6.227612961519737
106.66256706519974,-6.391345713138571
106.75627070051799,-6.05168566348193
106.80388918433746,-6.132423089771691
106.65951070922523,-6.309858692843444
107.007040584812,-6.28409333087412
106.85263382036241,-6.379482662378648
106.83079283404778,-6.054545686919369
106.83640681781009,-6.048541335217095
106.77597768639251,-6.385879817028151
106.84668315432812,-6.186685137304717
106.79363005996576,-6.015922274579269
107.01431956532227,-6.3649168891921315
106.85098785257237,-6.2716800916697455
106.86497936621582,-6.241202639351337
106.69601508588468,-6.337254154281747
106.73365897260403,-6.0414600848416
106.82712463808275,-6.191814404498053
106.93869161678172,-6.208515177885432
106.62834025829075,-6.138306139088218
106.65467278135462,-6.394203540477705
106.77287398183887,-6.138062545797463
106.78011558537798,-6.041393852872534
106.64495212203556,-6.180213116271595
106.80133462056665,-6.32274021762569
106.87729184248461,-6.054710219487345
106.94251410588693,-6.221499645469057
106.78239541586836,-6.372056272092122
106.63471468113536,-6.017904179200921
106.75713788677382,-6.287419864182547
106.82034814076192,-6.293973773137359
106.90645912198262,-6.217052594919457
106.77128639304013,-6.1110286171924875
106.65110825433025,-6.138537645597067
106.69831678747705,-6.329743824481528
